name,type,owner,publisher,start,end,municipalities,regions
"Landslags-TV, www.svenskaspel.se",Beställ-TV,AB Svenska Spel,,,,,
"Poker-TV, www.svenskaspel.se",Beställ-TV,AB Svenska Spel,,,,,
"Svenska Spel Play, www.svenskaspel.se",Beställ-TV,AB Svenska Spel,,,,,
"Tipselit-TV, www.tipselit.se",Beställ-TV,AB Svenska Spel,,,,,
eposten.se,Beställ-TV,AB Upsala Nya Tidning,,,,,
unt.se,Beställ-TV,AB Upsala Nya Tidning,,,,,
Aftonbladet TV,Beställ-TV,Aftonbladet Hierta AB,,,,,
GODARE,Beställ-TV,Aftonbladet Hierta AB,,,,,
Axess Play,Beställ-TV,Axess Publishing AB,,,,,
Lexnova Play,Beställ-TV,Blendow Group AB,,,,,
cmore.se,Beställ-TV,C More Entertainment AB,,,,,
"CTV Play, www.ctvplay.se",Beställ-TV,Carlskoga Television AB,,,,,
Artmann Media,Beställ-TV,Casimir Artmann,,,,,
Di TV,Beställ-TV,Dagens Industri Aktiebolag,,,,,
EFN TV,Beställ-TV,EFN Ekonomikanalen AB,,,,,
equisport.tv,Beställ-TV,Equisport Broadcasting AB,,,,,
EFS Play,Beställ-TV,Evangeliska Fosterlandsstiftelsen,,,,,
Expressen TV,Beställ-TV,Expressen Lifestyle AB,,,,,
livesport.expressen.se,Beställ-TV,Expressen Lifestyle AB,,,,,
"ÖKS Play, www.oppnakanalenskovde.se/play",Beställ-TV,Föreningen Öppna Kanalen Skövde,,,,,
"Öppna Kanalen Västerås, www.okvasteras.se",Beställ-TV,Föreningen Öppna Kanalen Västerås,,,,,
"ÖKV-Play, www.okv.se",Beställ-TV,Föreningen Öppna Kanalen Växjö/Kronoberg,,,,,
"Webb-Tv, www.oppnakanalengoteborg.se",Beställ-TV,Föreningen Öppna Kanalen i Göteborg,,,,,
GazeNet,Beställ-TV,GazeNet AB,,,,,
BT-TV www.bt.se,Beställ-TV,Gota Media AB,,,,,
Norra Skåne TV,Beställ-TV,Gota Media AB,,,,,
TV,Beställ-TV,Gota Media AB,,,,,
GSOplay,Beställ-TV,Göteborgs Symfoniker AB,,,,,
HBO (Baltics),Beställ-TV,HBO Nordic AB,,,,,
HBO Max (Nederländerna),Beställ-TV,HBO Nordic AB,,,,,
HBO Max (Norden),Beställ-TV,HBO Nordic AB,,,,,
HBO Max (Portugal),Beställ-TV,HBO Nordic AB,,,,,
HBO Max (Spanien & Andorra),Beställ-TV,HBO Nordic AB,,,,,
"TV Malung-Sälen (se), www.tvmalung-salen.se",Beställ-TV,JDS Ljud- & Mediakonsult AB,,,,,
"Bambuser JTV, www.Bambuser.com/channel/JTV",Beställ-TV,Jönköpings Lokal TV förening,,,,,
Kanal Global,Beställ-TV,Kanal Global Television 1 AB,,,,,
Kanal10play,Beställ-TV,Kristen TV i Sverige AB,,,,,
Albse,Beställ-TV,Kultur och Idrottsföreningen Svenska-Albanska Meshari,,,,,
play1.se,Beställ-TV,Lembke Film och Television,,,,,
Malmö mediakanal Play,Beställ-TV,Malmö Allemans-TV,,,,,
"Kuriren-TV, www.kuriren.nu",Beställ-TV,Norr Media AB,,,,,
"nsd webb-tv, www.nsd.se",Beställ-TV,Norr Media AB,,,,,
"TV Eskilstuna Play, www.tveskilstuna.se",Beställ-TV,Närmediernas Samarbetsorgan i Eskilstuna,,,,,
realplay,Beställ-TV,Realplay AB,,,,,
RTMTV.SE,Beställ-TV,Ringklockan Television & Media AB,,,,,
Blockbuster,Beställ-TV,SF Anytime AB,,,,,
SF Anytime,Beställ-TV,SF Anytime AB,,,,,
"Moviestone, www.moviestone.se",Beställ-TV,Sten Anders Sandvall,,,,,
